substance,substance_name,inchikey,bio_activity_labels,echa_lists,casNumbers,ecNumbers
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/000026ae2752f091793fdf6da25b273d,2-ethylhexyl laurate,LWLRMRFJCCMNML-UHFFFAOYSA-N,,dossier_evaluation|reach_registrations,20292-08-4,243-697-9
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0007555ae47b63af2e18af4279bf866b,Ofurace,OWDLFBLNMPCXSD-UHFFFAOYSA-N,,pesticides,58810-48-3,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/000a5fb9823280769cb75e5fdba9e133,DAPH,AAALVYBICLMAMA-UHFFFAOYSA-N,tyrosine kinase inhibitor|geroprotector,reach_registrations,,406-050-3
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0011c1c8549d576e8f192772862e4be8,Piperidin-3-ol,BIWOSRSKDCZIFM-UHFFFAOYSA-N,,reach_registrations,6859-99-0,229-957-4
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/001299cc75452eee63984cb64e9c33dc,tau-Fluvalinate,INISTDXBRIBGOC-XMMISQBUSA-N,pyrethroid ester acaricide|pyrethroid ester insecticide,pesticides|harmonised_list,102851-06-9,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/001299cc75452eee63984cb64e9c33dc,tau-fluvalinate (ISO); cyano-(3-phenoxyphenyl)methyl N-[2-chloro-4-(trifluoromethyl)phenyl]-D-valinate,INISTDXBRIBGOC-XMMISQBUSA-N,pyrethroid ester acaricide|pyrethroid ester insecticide,pesticides|harmonised_list,102851-06-9,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0017d5b357d78c546a12223c7cddebba,Methyl 2-oxobutyrate,XPIWVCAMONZQCP-UHFFFAOYSA-N,,reach_registrations,,474-670-1
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/00292d75066c16b069f1dc8a066a4b7f,(1R)cyclohex-3-enecarboxylic acid (1S)-1-phenylethylamine,HDZYAWOSGIDHOO-KSTOEEEWSA-N,,reach_registrations,67976-81-2,814-700-6
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/002d3ac84cdb8324089dabd1f2a65edd,Benzamide oxime,MXOQNVMDKHLYCZ-UHFFFAOYSA-N,genotoxin|mammalian metabolite|bacterial metabolite,reach_registrations,613-92-3,210-361-8
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/002d4a58ece00b8b222c68bed50aecdf,"Bis(1,1-dimethylethyl) phosphonate",GEBLOQXLELCEEO-UHFFFAOYSA-N,,reach_registrations,13086-84-5,235-996-8
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/002f0d9e20e5b7648b46c11ec6b79a47,"1-cyclohexyl-1H-pyrrole-2,5-dione",BQTPKSBXMONSJI-UHFFFAOYSA-N,,reach_registrations,1631-25-0,216-630-6
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/00371deada6e0c48a8f627e933d90c37,"diethyl 1-(2,4-dichlorophenyl)-5-methyl-4,5-dihydro-1H-pyrazole-3,5-dicarboxylate",OPGCOAPTHCZZIW-UHFFFAOYSA-N,,reach_registrations|dossier_evaluation,135590-91-9,603-923-2
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0047358b705c0be1ce86e1793b0d4602,(2-chloroethyl)(3-hydroxypropyl)ammonium chloride,UBRSKPGONDTDNE-UHFFFAOYSA-N,,reach_registrations|harmonised_list,40722-80-3,429-740-6
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0050f6901f3301b48d13e8299e8fb8c7,2-methoxy-4-nitrobenzenediazonium,QCONCWPZAHEPSP-UHFFFAOYSA-N,,reach_registrations,27761-26-8,248-642-2
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/005aec7b4e5a71f31e6c13db5251c154,3-Fluor-1-[trans-4-(trans-4-propylcyclohexyl)-cyclohexyl)-benzen,QRDAENJJJVNXHH-UHFFFAOYSA-N,,reach_registrations,82832-46-0,617-389-3
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/005ea8cdff751fa469a535c03c74eecb,"chlordimeform hydrochloride; N'-(4-chloro-o-tolyl)-N,N-dimethylformamidine monohydrochloride; N 2-(4-chloro-o-tolyl)-N 1,N 1-dimethylformamidine hydorchloride",WZFNZVJGDCKNME-UHFFFAOYSA-N,,harmonised_list,19750-95-9,243-269-1
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/00615626bf7d73d46039cdd9d55a9f23,Potassium phenylacetate,JFOZPCWVLIBFCH-UHFFFAOYSA-M,,reach_registrations,13005-36-2,235-845-6
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/00616bb32600e133af8f5c57f8a0d316,Anthracene-9-carbaldehyde,YMNKUHIVVMFOFO-UHFFFAOYSA-N,,reach_registrations,642-31-9,211-383-0
