inchikey,substance_name,chemont_label,chemont_labels
AAAIOLZUQZJCPR-FPODKLOTSA-N,"2-Oxetanone, 3-C14-16-alkyl 4-C15-17-alkylidene derivs.",Beta propiolactones,Beta propiolactones|Lactones
AAALVYBICLMAMA-UHFFFAOYSA-N,DAPH,Phthalimides,Phthalimides|Isoindolones
AAAXMNYUNVCMCJ-UHFFFAOYSA-N,"1,3-diiodopropane",Organoiodides,Organoiodides
AABSCORIAJETCY-UHFFFAOYSA-L,"2-ethylhexyl 12-ethyl-5,5-dioctyl-9-oxo-10-oxa-4,6-dithia-5-stannahexadecanoate",Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives|Carboxylic acids and derivatives
AACILMLPSLEQMF-UHFFFAOYSA-N,"2,2-dichlorovinyl 2-ethylsulphinylethyl methyl phosphate",Dialkyl phosphates,Dialkyl phosphates|Alkyl phosphates|Phosphate esters|Organic phosphoric acids and derivatives
AACQWMDCFMYTSE-UHFFFAOYSA-N,3-(1-pyrrolidinyl)propiophenone hydrochloride,Alkyl-phenylketones,Alkyl-phenylketones
AADUTVXTSYIBNU-UHFFFAOYSA-N,S-octyl chlorothioformate,Organic carbonic acids and derivatives,Organic carbonic acids and derivatives
AAEVYOVXGOFMJO-UHFFFAOYSA-N,Prometryn,Methylthio-s-triazines,"Methylthio-s-triazines|1,3,5-triazines"
AAJRIJBGDLLRAE-UHFFFAOYSA-M,sodium butylxanthogenate,Organic alkali metal salts,Organic alkali metal salts|Organic metal salts|Organic salts|Organic compounds
AAKMSGQPNUGLAZ-UHFFFAOYSA-N,"N,N'-(10,15,16,17-tetrahydro-5,10,15,17-tetraoxo-5H-dinaphtho[2,3-a:2',3'-i]carbazole-4,9-diyl)bis(benzamide)",Anthracenes,Anthracenes|Benzenoids|Organic compounds
AAMHBRRZYSORSH-UHFFFAOYSA-N,Octyloxirane,Epoxides,Epoxides
AAOISIQFPPAFQO-UHFFFAOYSA-N,Neononanoic acid,Medium-chain fatty acids,Medium-chain fatty acids|Fatty acids and conjugates
AAPLIUHOKVUFCC-UHFFFAOYSA-N,Hydroxytrimethylsilane,Trialkylheterosilanes,Trialkylheterosilanes|Organoheterosilanes
AAPLYDDEQVREDC-BJMVGYQFSA-N,"2-methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-butenal",Monocyclic monoterpenoids,Monocyclic monoterpenoids|Monoterpenoids
AAQNGTNRWPXMPB-UHFFFAOYSA-N,Dipotassium wolframate,Alkali metal tungstates,Alkali metal tungstates
AARROMHWSQDDKO-UHFFFAOYSA-N,"decanedioic acid, pentane -1,5-diamine",Medium-chain fatty acids,Medium-chain fatty acids|Fatty acids and conjugates
AATNZNJRDOVKDD-UHFFFAOYSA-N,Diethyl ethylphosphonate,Dialkyl alkylphosphonates,Dialkyl alkylphosphonates|Phosphonic acid diesters|Organic phosphonic acids and derivatives
AATYNBPIINGGLV-UHFFFAOYSA-M,"2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)thio]-1-propanimium chloride",Cholines,Cholines|Quaternary ammonium salts|Organonitrogen compounds
AAWZDTNXLSGCEK-LNVDRNJUSA-N,"1,3,4,5-tetrahydroxycyclohexanecarboxylic acid",Quinic acids and derivatives,Quinic acids and derivatives
ABALMDTULZCSTP-WREUKLMHSA-N,"(1R,3S)-3-((1Z)-2-chloro-3,3,3-trifluoroprop-1-en-1-yl)-2,2-dimethylcyclopropanecarbonyl chloride",Cyclopropanecarboxylic acids and derivatives,Cyclopropanecarboxylic acids and derivatives|Carboxylic acids and derivatives
ABAMRJVWDHJBTI-UHFFFAOYSA-N,2-ethylhexyl 7-oxabicyclo[4.1.0]heptane-3-carboxylate,Oxepanes,Oxepanes
ABBQHOQBGMUPJH-UHFFFAOYSA-M,Sodium salicylate,Salicylic acids,Salicylic acids
ABDADCJADOXDLS-UHFFFAOYSA-M,Sodium [(2-methoxyphenyl)amino]methanesulphonate,Methoxyanilines,Methoxyanilines|Aniline and substituted anilines|Benzene and substituted derivatives|Benzenoids|Organic compounds
ABDBICZRDFSYAS-ZEHJPDPISA-N,"(6β)-6,19-epoxyandrost-4-ene-3,17-dione",Oxepanes,Oxepanes
ABDDAHLAEXNYRC-UHFFFAOYSA-N,Trichloro(trichlorosilylmethyl)silane,Organochlorosilanes,Organochlorosilanes|Organoheterosilanes
ABDKAPXRBAPSQN-UHFFFAOYSA-N,Veratrole,Dimethoxybenzenes,Dimethoxybenzenes
ABEXEQSGABRUHS-UHFFFAOYSA-N,Isooctadecyl isooctadecanoate,Wax monoesters,Wax monoesters
ABFCOJLLBHXNOU-UHFFFAOYSA-N,2-hydroxyphenethyl alcohol,1-hydroxy-4-unsubstituted benzenoids,1-hydroxy-4-unsubstituted benzenoids
ABGUZAVIFZZDDZ-MHYQPVDNSA-N,"11β,21-dihydroxypregna-1,4,16-triene-3,20-dione 21-acetate",20-oxosteroids,20-oxosteroids|Oxosteroids|Steroids and steroid derivatives
ABLZXFCXXLZCGV-UHFFFAOYSA-N,Phosphonic acid,Non-metal phosphonates,Non-metal phosphonates
ABLZXFCXXLZCGV-UHFFFAOYSA-N,phosphonic acid,Non-metal phosphonates,Non-metal phosphonates
ABMFBCRYHDZLRD-UHFFFAOYSA-N,"Naphthalene-1,4-dicarboxylic acid",Naphthalenecarboxylic acids,Naphthalenecarboxylic acids|Naphthalenecarboxylic acids and derivatives|Naphthalenes|Benzenoids|Organic compounds
ABNQGNFVSFKJGI-UHFFFAOYSA-N,"2,3-dichloro-5-trifluoromethyl-pyridine",Polyhalopyridines,Polyhalopyridines
ABNQGNFVSFKJGI-UHFFFAOYSA-N,"2,3-dichloro-5-trifluoromethylpyridine",Polyhalopyridines,Polyhalopyridines
ABOOPXYCKNFDNJ-SNVBAGLBSA-N,Quizalofop-P,Aryloxyphenoxypropionic acids,Aryloxyphenoxypropionic acids|2-phenoxypropionic acids|Benzene and substituted derivatives|Benzenoids|Organic compounds
ABOOPXYCKNFDNJ-SNVBAGLBSA-N,Quizalofop-P-ethyl,Aryloxyphenoxypropionic acids,Aryloxyphenoxypropionic acids|2-phenoxypropionic acids|Benzene and substituted derivatives|Benzenoids|Organic compounds
ABOOPXYCKNFDNJ-SNVBAGLBSA-N,ethyl (R)-2-[4-(6-chloroquinoxalin-2-yloxy)phenoxy]propionate,Aryloxyphenoxypropionic acids,Aryloxyphenoxypropionic acids|2-phenoxypropionic acids|Benzene and substituted derivatives|Benzenoids|Organic compounds
ABOOPXYCKNFDNJ-UHFFFAOYSA-N,Quizalofop,Aryloxyphenoxypropionic acids,Aryloxyphenoxypropionic acids|2-phenoxypropionic acids|Benzene and substituted derivatives|Benzenoids|Organic compounds
ABQIAHFCJGVSDJ-UHFFFAOYSA-N,"1,1,1,3,4,4,4-heptafluoro-3-(trifluoromethyl)butan-2-one",Alpha-haloketones,Alpha-haloketones|Ketones|Carbonyl compounds|Organooxygen compounds
ABRIMXGLNHCLIP-UHFFFAOYSA-N,5-cyclohexadecen-1-one,Cyclic ketones,Cyclic ketones|Ketones|Carbonyl compounds|Organooxygen compounds
ABSVPRBGVPHWDJ-UHFFFAOYSA-N,2-[2-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethyl methanesulfonate,Organosulfonic acid esters,Organosulfonic acid esters|Organosulfonic acids and derivatives|Organic sulfonic acids and derivatives
ABTAMTTWNRHXGT-UHFFFAOYSA-M,"[2-[ethyl[3-methyl-4-[(3-phenyl-1,2,4-thiadiazol-5-yl)azo]phenyl]amino]ethyl]trimethylammonium methyl sulphate",Aminotoluenes,Aminotoluenes|Toluenes|Benzene and substituted derivatives|Benzenoids|Organic compounds
ABTOQLMXBSRXSM-UHFFFAOYSA-N,Silicon tetrafluoride,Metalloid fluorides,Metalloid fluorides|Metalloid salts
ABXGMGUHGLQMAW-UHFFFAOYSA-N,3'-(trifluoromethyl)acetophenone,Alkyl-phenylketones,Alkyl-phenylketones
ABYBSKYSXDSVJG-UHFFFAOYSA-P,3-({6-[(2-cyanoethyl)amino]hexyl}amino)propanenitrile,Quaternary ammonium salts,Quaternary ammonium salts|Organonitrogen compounds
ABZNEHKRFLKURR-BXUPKDGBSA-L,"3,3'-Terephtalylidene-10,10'-dicamphosulfonic acid, disodium salt",Sesterterpenoids,Sesterterpenoids
ACBAHAXPEQHVHO-UHFFFAOYSA-N,2-Fluoro-5-methanesulfonyl-benzoic acid,Halobenzoic acids,Halobenzoic acids
ACBFJDARQXVXLX-UHFFFAOYSA-M,[2-[[4-[(2-chloro-4-nitrophenyl)azo]phenyl]ethylamino]ethyl](2-hydroxypropyl)dimethylammonium chloride,Azobenzenes,Azobenzenes
ACBFXJILDVSGGU-UHFFFAOYSA-N,2-(2-butoxyethoxymethyl)oxirane,Epoxides,Epoxides
ACGUYXCXAPNIKK-UHFFFAOYSA-N,"2,2'-methylenebis-(3,4,6-trichlorophenol); hexachlorophene",Diphenylmethanes,Diphenylmethanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene,Diphenylmethanes,Diphenylmethanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
ACGZBRWTWOZSFU-UHFFFAOYSA-N,4-(diethylamino)-2-butyn-1-ol,Trialkylamines,Trialkylamines|Tertiary amines
ACKFDYCQCBEDNU-UHFFFAOYSA-J,Lead tetraacetate,Acetate salts,Acetate salts|Carboxylic acid salts
