label,uri
(2'->5')-dinucleotides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003393
(2R)-hydroxy acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003255
(2R)-hydroxy acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003254
(3'->5')-cyclic dinucleotide bis(carbamate) analogues,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004352
(3'->5')-cyclic dinucleotide bis(phosphoromonothioate) analogues,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003793
(3'->5')-cyclic dinucleotide phosphoromonothioate analogues,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003794
(3'->5')-cyclic dinucleotide phosphorotrithioate analogues,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003795
(3'->5')-cyclic dinucleotides and analogues,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003792
(3'->5')-dinucleotide phosphorodithioates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003798
(3'->5')-dinucleotide phosphorothioates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003797
(3'->5')-dinucleotides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003394
(3'->5')-dinucleotides and analogues,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003796
(5'->5')-dinucleotides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003468
(5L-glutamyl)-alpha-peptides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004022
(R)-3-hydroxyacyl CoAs,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003224
(S)-3-hydroxy-3-alkylglutaryl CoAs,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004302
(S)-3-hydroxyacyl CoAs,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003225
"1'-(acyl-sn-glycero-3-phospho),3'-(acyl-sn-glycero-3-phospho)-sn-glycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003388
"1,1'-azonaphthalenes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003653
"1,1-dinitrodifluoramines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004608
"1,1-diols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002856
"1,1-diunsubstituted alkanesulfonic acids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003312
"1,1-diunsubstituted alkanesulfonic acids and derivatives",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003313
"1,2,3,6-Tetrahydropyridines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004533
"1,2,3-oxadiazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004737
"1,2,3-oxadiazoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003351
"1,2,3-thiadiazolopyridines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004509
"1,2,3-triazinanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002796
"1,2,3-triazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004106
"1,2,4,5-tetrasubstituted imidazoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002633
"1,2,4-benzothiadiazine-1,1-dioxides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004292
"1,2,4-dithiazole-3-thiones",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001130
"1,2,4-oxadiazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004738
"1,2,4-oxadiazoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002924
"1,2,4-triazinanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002797
"1,2,4-triazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004107
"1,2,4-triazolo[3,4-a]phthalazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004827
"1,2,4-triazolo[4,3-a][1,4]benzodiazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004226
"1,2,4-triazolopyrimidine-2-sulfonamides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004681
"1,2,4-triazolopyrimidine-2-sulfonanilides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004682
"1,2,4-trisubstituted imidazoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002629
"1,2,5-oxadiazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004739
"1,2,5-trisubstituted imidazoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002630
"1,2-allenyl phenyl sulfoxides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004633
"1,2-aminoalcohols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001897
"1,2-benzodithiins",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002805
"1,2-diacyl-1-alkylhydrazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004512
"1,2-diacyl-3-O-beta-D-digalactosyl-sn-glycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003342
"1,2-diacyl-3-O-beta-D-galactosyl-sn-glycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003259
"1,2-diacyl-sn-glycerol-3(2'-aminoethyl)phosphonates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003614
"1,2-diacyl-sn-glycerol-3(2'-aminopropyl)phosphonates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003615
"1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003619
"1,2-diacylglycero-3-phosphosulfocholines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003321
"1,2-diacylglycerol-3-phosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001299
"1,2-diacylglycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001644
"1,2-diaryl-2-propen-1-ols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002900
"1,2-diazepanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002921
"1,2-diazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001335
"1,2-dihalobenzenes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003664
"1,2-diols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002467
"1,2-dioxanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001312
"1,2-dioxepanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002944
