n,days
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,2
17,2
18,2
19,2
20,2
21,3
22,3
23,3
24,3
25,3
26,4
27,4
28,4
29,5
30,5
31,5
32,5
33,6
34,6
35,6
36,7
37,7
38,8
39,8
40,8
41,9
42,9
43,10
44,10
45,10
46,11
47,11
48,12
49,12
50,13
51,13
52,14
53,14
54,15
55,15
56,16
57,16
58,17
59,18
60,18
61,19
62,19
63,20
64,21
65,21
66,22
67,23
68,23
69,24
70,25
71,25
72,26
73,27
74,28
75,28
76,29
77,30
78,31
79,31
80,32
81,33
82,34
83,35
84,35
85,36
86,37
87,38
88,39
89,40
90,41
91,41
92,42
93,43
94,44
95,45
96,46
97,47
98,48
99,49
100,50
101,51
102,52
103,53
104,54
105,55
106,56
107,57
108,58
109,59
110,60
111,62
112,63
113,64
114,65
115,66
116,67
117,68
118,70
119,71
120,72
121,73
122,74
123,76
124,77
125,78
126,79
127,81
128,82
129,83
130,84
131,86
132,87
133,88
134,90
135,91
136,92
137,94
138,95
139,96
140,98
141,99
142,101
143,102
144,103
145,105
146,106
147,108
148,109
149,111
150,112
151,114
152,115
153,117
154,118
155,120
156,121
157,123
158,125
159,126
160,128
161,129
162,131
163,133
164,134
165,136
166,137
167,139
168,141
169,142
170,144
171,146
172,148
173,149
174,151
175,153
176,154
177,156
178,158
179,160
180,162
181,163
182,165
183,167
184,169
185,171
186,173
187,174
188,176
189,178
190,180
191,182
192,184
193,186
194,188
195,190
196,192
197,194
198,196
199,198
200,199
201,201
202,204
203,206
204,208
205,210
206,212
207,214
208,216
209,218
210,220
211,222
212,224
213,226
214,228
215,231
216,233
217,235
218,237
219,239
220,241
221,244
222,246
223,248
224,250
225,252
226,255
227,257
228,259
229,262
230,264
231,266
232,268
233,271
234,273
235,275
236,278
237,280
238,283
239,285
240,287
241,290
242,292
243,295
244,297
245,299
246,302
247,304
248,307
249,309
250,312
251,314
252,317
253,319
254,322
255,324
256,327
257,329
258,332
259,335
260,337
261,340
262,342
263,345
264,348
265,350
266,353
267,356
268,358
269,361
270,364
271,366
272,369
273,372
274,375
275,377
276,380
277,383
278,386
279,388
280,391
281,394
282,397
283,400
284,402
285,405
286,408
287,411
288,414
289,417
290,420
291,422
292,425
293,428
294,431
295,434
296,437
297,440
298,443
299,446
300,449
301,452
302,455
303,458
304,461
305,464
306,467
307,470
308,473
309,476
310,479
311,483
312,486
313,489
314,492
315,495
316,498
317,501
318,505
319,508
320,511
321,514
322,517
323,521
324,524
325,527
326,530
327,534
328,537
329,540
330,543
331,547
332,550
333,553
334,557
335,560
336,563
337,567
338,570
339,573
340,577
341,580
342,584
343,587
344,590
345,594
346,597
347,601
348,604
349,608
350,611
351,615
352,618
353,622
354,625
355,629
356,632
357,636
358,640
359,643
360,647
361,650
362,654
363,658
364,661
365,665
366,668
367,672
368,676
369,679
370,683
371,687
372,691
373,694
374,698
375,702
376,705
377,709
378,713
379,717
380,721
381,724
382,728
383,732
384,736
385,740
386,744
387,747
388,751
389,755
390,759
391,763
392,767
393,771
394,775
395,779
396,783
397,787
398,791
399,795
400,798
401,802
402,807
403,811
404,815
405,819
406,823
407,827
408,831
409,835
410,839
411,843
412,847
413,851
414,855
415,860
416,864
417,868
418,872
419,876
420,880
