inchikey,restriction_list,candidate_list,authorisation_list,pops_list,eu_positive_list,harmonised_list,svhc_identification
BZHJMEDXRYGGRV-UHFFFAOYSA-N,1,0,0,0,1,1,1
PQYJRMFWJJONBO-UHFFFAOYSA-N,1,0,0,0,0,0,0
UHOVQNZJYSORNB-UHFFFAOYSA-N,1,0,0,0,0,1,0
FYAMXEPQQLNQDM-UHFFFAOYSA-N,1,0,0,0,0,0,0
BAJQRLZAPXASRD-UHFFFAOYSA-N,1,0,0,0,0,1,0
QSHDDOUJBYECFT-UHFFFAOYSA-N,1,0,0,0,0,1,0
WGSHSRLSNBIFSC-UHFFFAOYSA-N,1,0,0,0,0,1,0
VFDKJOGFZHCXDA-UHFFFAOYSA-N,1,0,0,0,0,1,0
HEDRZPFGACZZDS-UHFFFAOYSA-N,1,0,0,0,0,1,0
UBOXGVDOUJQMTN-UHFFFAOYSA-N,1,0,0,0,0,1,0
QPFMBZIOSGYJDE-UHFFFAOYSA-N,1,0,0,0,0,1,0
QVLAWKAXOMEXPM-UHFFFAOYSA-N,1,0,0,0,0,0,0
BNIXVQGCZULYKV-UHFFFAOYSA-N,1,0,0,0,0,1,0
LGXVIGDEPROXKC-UHFFFAOYSA-N,1,0,0,0,1,1,0
VHHHONWQHHHLTI-UHFFFAOYSA-N,1,0,0,0,0,0,0
YXFVVABEGXRONW-UHFFFAOYSA-N,1,0,0,0,1,1,0
PBKONEOXTCPAFI-UHFFFAOYSA-N,1,0,0,0,0,1,1
SBASXUCJHJRPEV-UHFFFAOYSA-N,1,0,0,0,0,1,0
OAYXUHPQHDHDDZ-UHFFFAOYSA-N,1,0,0,0,1,1,0
XDTMQSROBMDMFD-UHFFFAOYSA-N,1,0,0,0,0,1,0
DVARTQFDIMZBAA-UHFFFAOYSA-O,1,0,0,0,0,0,0
YMWUJEATGCHHMB-UHFFFAOYSA-N,1,0,0,0,1,1,0
HRPVXLWXLXDGHG-UHFFFAOYSA-N,1,1,0,0,1,1,1
LDCRTTXIJACKKU-ONEGZZNKSA-N,1,0,0,0,0,0,0
OCJBOOLMMGQPQU-UHFFFAOYSA-N,1,0,0,0,1,1,0
IISBACLAFKSPIT-UHFFFAOYSA-N,1,1,0,0,1,1,1
OKKJLVBELUTLKV-UHFFFAOYSA-N,1,0,0,0,1,1,0
SECXISVLQFMRJM-UHFFFAOYSA-N,1,1,0,0,1,1,1
ZMXDDKWLCZADIW-UHFFFAOYSA-N,1,1,0,0,1,1,1
FXHOOIRPVKKKFG-UHFFFAOYSA-N,1,1,0,0,1,1,1
ZFPGARUNNKGOBB-UHFFFAOYSA-N,1,0,0,0,0,1,0
VLKZOEOYAKHREP-UHFFFAOYSA-N,0,1,0,0,1,1,1
BZQKBFHEWDPQHD-UHFFFAOYSA-N,0,1,0,0,0,0,1
RGMZNZABJYWAEC-UHFFFAOYSA-N,0,1,0,0,0,0,1
YFCGDEUVHLPRCZ-UHFFFAOYSA-N,0,1,0,0,0,0,1
JAJLKEVKNDUJBG-UHFFFAOYSA-N,0,1,0,0,0,0,1
IKXFIBBKEARMLL-UHFFFAOYSA-N,0,1,0,0,0,0,1
CXQXSVUQTKDNFP-UHFFFAOYSA-N,0,1,0,0,0,0,1
XZZNDPSIHUTMOC-UHFFFAOYSA-N,0,1,0,0,0,0,1
XMNIXWIUMCBBBL-UHFFFAOYSA-N,0,1,0,0,1,1,1
PFEFOYRSMXVNEL-UHFFFAOYSA-N,0,1,0,0,0,1,1
IYAZLDLPUNDVAG-UHFFFAOYSA-N,0,1,0,0,0,0,1
OCWYEMOEOGEQAN-UHFFFAOYSA-N,0,1,0,0,1,0,1
PUBNJSZGANKUGX-UHFFFAOYSA-N,0,1,0,0,0,0,1
VFHVQBAGLAREND-UHFFFAOYSA-N,0,1,0,0,0,1,1
GPAPPPVRLPGFEQ-UHFFFAOYSA-N,0,1,0,0,1,0,1
VPWNQTHUCYMVMZ-UHFFFAOYSA-N,0,1,0,0,1,1,1
VEORPZCZECFIRK-UHFFFAOYSA-N,0,1,0,0,0,1,1
JDSHMPZPIAZGSV-UHFFFAOYSA-N,0,1,0,0,1,1,1
XPJVKCRENWUEJH-UHFFFAOYSA-N,0,1,0,0,0,0,1
YATIGPZCMOYEGE-UHFFFAOYSA-N,0,1,0,0,0,0,1
QBLDFAIABQKINO-UHFFFAOYSA-N,0,1,0,0,0,1,1
CNCOEDDPFOAUMB-UHFFFAOYSA-N,0,1,0,0,1,1,1
WOXXJEVNDJOOLV-UHFFFAOYSA-N,0,1,0,0,0,1,1
KGRVJHAUYBGFFP-UHFFFAOYSA-N,0,1,0,0,1,1,1
BTGXKUUWLIFGRR-UHFFFAOYSA-N,0,1,0,0,0,0,1
WJZOJDGNGVXSIK-UHFFFAOYSA-N,0,1,0,0,0,1,0
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,0,1,0,0,1,1,1
HTVITOHKHWFJKO-UHFFFAOYSA-N,0,1,0,0,0,0,1
RYHBNJHYFVUHQT-UHFFFAOYSA-N,0,1,0,0,0,1,1
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,0,1,0,0,0,1,1
UQFXPYKWVFOQTH-VGKOASNMSA-L,0,1,0,0,0,1,1
LXBGSDVWAMZHDD-UHFFFAOYSA-N,0,1,0,0,1,1,1
OSSNTDFYBPYIEC-UHFFFAOYSA-N,0,1,0,0,1,1,1
QFOHBWFCKVYLES-UHFFFAOYSA-N,0,1,0,0,0,0,1
UHFFVFAKEGKNAQ-UHFFFAOYSA-N,0,1,0,0,0,1,1
LWRBVKNFOYUCNP-UHFFFAOYSA-N,0,1,0,0,0,1,1
ALEROMXYYSQFLX-UHFFFAOYSA-N,0,1,0,0,0,1,1
QHPQWRBYOIRBIT-UHFFFAOYSA-N,0,1,0,0,1,1,1
XLLIQLLCWZCATF-UHFFFAOYSA-N,0,1,0,0,0,1,1
VHLLJTHDWPAQEM-UHFFFAOYSA-N,0,1,0,0,0,1,1
OIQXFRANQVWXJF-UHFFFAOYSA-N,0,1,0,0,0,0,1
YNPNZTXNASCQKK-UHFFFAOYSA-N,0,1,0,0,0,0,1
GVEPBJHOBDJJJI-UHFFFAOYSA-N,0,1,0,0,0,0,1
HAXBIWFMXWRORI-UHFFFAOYSA-N,0,1,0,0,0,1,1
BBEAQIROQSPTKN-UHFFFAOYSA-N,0,1,0,0,0,0,1
GYFAGKUZYNFMBN-UHFFFAOYSA-N,0,1,0,0,0,0,1
IUMSDRXLFWAGNT-UHFFFAOYSA-N,0,1,0,0,0,0,1
XMSXQFUHVRWGNA-UHFFFAOYSA-N,0,1,0,0,1,0,1
SRPWOOOHEPICQU-UHFFFAOYSA-N,0,1,0,0,1,1,1
HMMGMWAXVFQUOA-UHFFFAOYSA-N,0,1,0,0,1,1,1
WABPQHHGFIMREM-UHFFFAOYSA-N,0,1,0,0,0,1,1
VOWAEIGWURALJQ-UHFFFAOYSA-N,0,1,0,0,1,1,1
PIICEJLVQHRZGT-UHFFFAOYSA-N,0,1,0,0,1,1,1
CGCGPGRQKOPVHP-UHFFFAOYSA-N,0,1,0,0,0,1,1
XIEPJMXMMWZAAV-UHFFFAOYSA-N,0,1,0,0,0,1,1
PLLZRTNVEXYBNA-UHFFFAOYSA-L,0,1,0,0,0,1,1
DXBHBZVCASKNBY-UHFFFAOYSA-N,0,1,0,0,0,1,1
GKDXQAKPHKQZSC-UHFFFAOYSA-L,0,1,0,0,0,1,1
WDECIBYCCFPHNR-UHFFFAOYSA-N,0,1,0,0,0,1,1
NRZWYNLTFLDQQX-UHFFFAOYSA-N,0,1,0,0,0,0,1
FMMWHPNWAFZXNH-UHFFFAOYSA-N,0,1,0,0,0,1,1
LQNUZADURLCDLV-UHFFFAOYSA-N,0,1,0,0,0,1,1
UWSMKYBKUPAEJQ-UHFFFAOYSA-N,0,1,1,0,1,0,1
FSSPGSAQUIYDCN-UHFFFAOYSA-N,0,1,0,0,0,1,1
RTNVDKBRTXEWQE-UHFFFAOYSA-N,0,1,1,0,0,0,1
ZMWRRFHBXARRRT-UHFFFAOYSA-N,0,1,1,1,0,0,1
VXGIVDFKZKMKQO-UHFFFAOYSA-L,0,1,1,0,1,1,1
QCUOBSQYDGUHHT-UHFFFAOYSA-L,0,1,0,0,0,1,1
LVEULQCPJDDSLD-UHFFFAOYSA-L,0,1,0,0,0,1,1
LHPPDQUVECZQSW-UHFFFAOYSA-N,0,1,1,0,0,0,1
YKLJGMBLPUQQOI-UHFFFAOYSA-M,0,1,1,0,0,1,1
YKYOUMDCQGMQQO-UHFFFAOYSA-L,0,1,0,0,0,1,1
KOWVWXQNQNCRRS-UHFFFAOYSA-N,0,1,1,0,0,1,1
CJOBVZJTOIVNNF-UHFFFAOYSA-N,0,1,0,0,0,1,1
XRPLBRIHZGVJIC-UHFFFAOYSA-L,0,1,0,0,0,1,1
GUWSLQUAAYEZAF-UHFFFAOYSA-L,0,1,0,0,0,1,1
IQFVPQOLBLOTPF-UHFFFAOYSA-L,0,1,0,0,0,1,1
PDQAZBWRQCGBEV-UHFFFAOYSA-N,0,1,0,0,1,1,1
KCXZNSGUUQJJTR-UHFFFAOYSA-N,0,1,1,0,0,1,1
SNGREZUHAYWORS-UHFFFAOYSA-N,0,1,0,0,0,1,1
IPKKHRVROFYTEK-UHFFFAOYSA-N,0,1,1,0,0,1,1
CFEAAQFZALKQPA-UHFFFAOYSA-N,0,1,0,0,0,1,1
BDOSMKKIYDKNTQ-UHFFFAOYSA-N,0,1,0,0,0,1,1
YOALFLHFSFEMLP-UHFFFAOYSA-N,0,1,0,0,1,1,1
MUTGBJKUEZFXGO-UHFFFAOYSA-N,0,1,0,0,0,1,1
VYKXQOYUCMREIS-UHFFFAOYSA-N,0,1,0,0,0,1,1
OVJOMRKANUZJBM-UHFFFAOYSA-L,0,1,0,0,0,0,1
LCMZLEGVLPHFGA-UHFFFAOYSA-L,0,1,0,0,0,0,1
YRWFRHKQYQHUTP-UHFFFAOYSA-L,0,1,1,0,0,1,1
LVDGGZAZAYHXEY-UHFFFAOYSA-N,0,1,0,0,0,0,1
LIKGLDATLCWEDN-UHFFFAOYSA-N,0,1,0,0,0,1,1
