cas_number,n_inchikeys
100-00-5,1
100-01-6,1
100-02-7,1
100-06-1,1
100-07-2,1
100-09-4,1
100-10-7,1
100-11-8,1
100-15-2,1
100-18-5,1
100-20-9,1
100-21-0,1
100-22-1,1
100-25-4,1
100-36-7,1
100-37-8,1
100-39-0,1
100-40-3,1
100-41-4,1
100-42-5,1
100-43-6,1
100-44-7,1
100-46-9,1
100-47-0,1
100-48-1,1
100-50-5,1
100-51-6,1
100-52-7,1
100-54-9,1
100-55-0,1
100-57-2,1
100-58-3,1
100-59-4,1
100-60-7,1
100-61-8,1
100-63-0,1
100-64-1,1
100-66-3,1
100-68-5,1
100-69-6,1
100-70-9,1
100-71-0,1
100-74-3,1
100-79-8,1
100-83-4,1
100-85-6,1
100-86-7,1
100-88-9,1
100-93-6,1
100-94-7,1
100-97-0,1
100-99-2,1
1000-50-6,1
1000-78-8,1
1000-90-4,1
10004-44-1,1
100047-54-9,1
10007-85-9,1
1000701-92-7,1
100074-94-0,1
1000777-61-6,1
1000802-69-6,1
10009-20-8,1
1001161-63-2,1
1001164-15-3,1
1001252-30-7,1
1001320-38-2,1
100134-82-5,1
1001354-72-8,1
1001417-33-9,1
10016-20-3,1
100181-71-3,1
1002-57-9,1
1002-67-1,1
1002-69-3,1
1002-84-2,1
1002-89-7,1
10022-28-3,1
10022-31-8,1
10023-48-0,1
100231-63-8,1
10024-93-8,1
10024-97-2,1
10025-67-9,1
10025-73-7,1
10025-78-2,1
10025-82-8,1
10025-87-3,1
10025-91-9,1
10025-99-7,1
10026-00-3,1
10026-04-7,1
10026-11-6,1
10026-12-7,1
10026-13-8,1
10027-06-2,1
1002726-59-1,1
1002726-62-6,1
100276-37-7,1
100276-65-1,1
10028-15-6,1
10028-18-9,1
10028-22-5,1
1003-03-8,1
1003-09-4,1
1003-14-1,1
1003-29-8,1
1003-52-7,1
1003-68-5,1
1003218-33-4,1
1003218-40-3,1
1003315-69-2,1
1003318-67-9,1
1003319-95-6,1
10034-81-8,1
10034-85-2,1
10035-10-6,1
10038-98-9,1
1003859-14-0,1
10039-33-5,1
10039-54-0,1
1004-38-2,1
1004-75-7,1
100402-60-6,1
100418-33-5,1
10042-59-8,1
10042-76-9,1
1004297-30-6,1
10043-01-3,1
10043-11-5,1
10043-27-3,1
10043-35-3,1
10043-52-4,1
10043-67-1,1
10043-84-2,1
100442-33-9,1
10045-25-7,1
10045-86-0,1
10045-89-3,1
10045-95-1,1
100453-11-0,1
10046-00-1,1
100485-51-6,1
10049-04-4,1
10049-36-2,1
100491-29-0,1
100499-89-6,1
1005-24-9,1
1005-56-7,1
100501-62-0,1
100545-48-0,1
100556-82-9,1
10058-44-3,1
1006-23-1,1
10061-01-5,1
10061-02-6,1
1006376-60-8,1
1006376-62-0,1
100646-51-3,1
100728-84-5,1
10075-50-0,1
100784-20-1,1
1007881-21-1,1
1007882-59-8,1
1008-72-6,1
10081-67-1,1
100822-74-0,1
1009-14-9,1
1009-22-9,1
1009-35-4,1
1009-62-7,1
1009-93-4,1
1009119-83-8,1
