inchikey,n_cas
AAAIOLZUQZJCPR-FPODKLOTSA-N,1
AAAXMNYUNVCMCJ-UHFFFAOYSA-N,1
AABSCORIAJETCY-UHFFFAOYSA-L,1
AACILMLPSLEQMF-UHFFFAOYSA-N,1
AACQWMDCFMYTSE-UHFFFAOYSA-N,1
AADUTVXTSYIBNU-UHFFFAOYSA-N,1
AAEVYOVXGOFMJO-UHFFFAOYSA-N,1
AAJRIJBGDLLRAE-UHFFFAOYSA-M,1
AAKMSGQPNUGLAZ-UHFFFAOYSA-N,1
AAMHBRRZYSORSH-UHFFFAOYSA-N,1
AAOFVYUBIRCAKM-UHFFFAOYSA-N,1
AAOISIQFPPAFQO-UHFFFAOYSA-N,1
AAPLIUHOKVUFCC-UHFFFAOYSA-N,1
AAPLYDDEQVREDC-BJMVGYQFSA-N,1
AAQNGTNRWPXMPB-UHFFFAOYSA-N,1
AARROMHWSQDDKO-UHFFFAOYSA-N,1
AASDJASZOZGYMM-UHFFFAOYSA-N,1
AATNZNJRDOVKDD-UHFFFAOYSA-N,1
AATYNBPIINGGLV-UHFFFAOYSA-M,1
AAVMXHMOKHFTTF-ZIUMLUTBSA-N,1
AAWZDTNXLSGCEK-LNVDRNJUSA-N,1
ABALMDTULZCSTP-WREUKLMHSA-N,1
ABAMRJVWDHJBTI-UHFFFAOYSA-N,1
ABBQHOQBGMUPJH-UHFFFAOYSA-M,1
ABDADCJADOXDLS-UHFFFAOYSA-M,1
ABDBICZRDFSYAS-ZEHJPDPISA-N,1
ABDDAHLAEXNYRC-UHFFFAOYSA-N,1
ABDKAPXRBAPSQN-UHFFFAOYSA-N,1
ABEXEQSGABRUHS-UHFFFAOYSA-N,1
ABFCOJLLBHXNOU-UHFFFAOYSA-N,1
ABGUZAVIFZZDDZ-MHYQPVDNSA-N,1
ABJJHQWMGDFVEW-UHFFFAOYSA-N,1
ABLZXFCXXLZCGV-UHFFFAOYSA-N,1
ABMFBCRYHDZLRD-UHFFFAOYSA-N,1
ABNIXBQXMYTWSJ-UIPNDDLNSA-N,1
ABNQGNFVSFKJGI-UHFFFAOYSA-N,1
ABOOPXYCKNFDNJ-SNVBAGLBSA-N,1
ABOOPXYCKNFDNJ-UHFFFAOYSA-N,1
ABQIAHFCJGVSDJ-UHFFFAOYSA-N,1
ABRIMXGLNHCLIP-UHFFFAOYSA-N,1
ABSVPRBGVPHWDJ-UHFFFAOYSA-N,1
ABTAMTTWNRHXGT-UHFFFAOYSA-M,1
ABTOQLMXBSRXSM-UHFFFAOYSA-N,1
ABXGMGUHGLQMAW-UHFFFAOYSA-N,1
ABYBSKYSXDSVJG-UHFFFAOYSA-P,1
ABZNEHKRFLKURR-BXUPKDGBSA-L,1
ACBAHAXPEQHVHO-UHFFFAOYSA-N,1
ACBFJDARQXVXLX-UHFFFAOYSA-M,1
ACBFXJILDVSGGU-UHFFFAOYSA-N,1
ACENZISRUWHOSE-UHFFFAOYSA-N,1
ACGUYXCXAPNIKK-UHFFFAOYSA-N,1
ACGZBRWTWOZSFU-UHFFFAOYSA-N,1
ACKFDYCQCBEDNU-UHFFFAOYSA-J,1
ACMXQHFNODYQAT-UHFFFAOYSA-N,1
ACQZVWGQFXXTIX-UHFFFAOYSA-M,1
ACRCGKKNPOZIPG-UHFFFAOYSA-N,1
ACRNSUGLVQJCOM-UHFFFAOYSA-K,1
ACRQLFSHISNWRY-UHFFFAOYSA-N,1
ACSWJKPZXNIVMY-UHFFFAOYSA-N,1
ACVNYUMGXUDACR-UHFFFAOYSA-N,1
ACVYVLVWPXVTIT-UHFFFAOYSA-N,1
ACWBQPMHZXGDFX-QFIPXVFZSA-N,1
ACWZRVQXLIRSDF-UHFFFAOYSA-N,1
ACXLBHHUHSJENU-CMDGGOBGSA-N,1
ACYBVNYNIZTUIL-UHFFFAOYSA-N,1
ACYLUAGCBGTEJF-UHFFFAOYSA-N,1
ACZGCWSMSTYWDQ-UHFFFAOYSA-N,1
ADAKRBAJFHTIEW-UHFFFAOYSA-N,1
ADANNTOYRVPQLJ-UHFFFAOYSA-N,1
