source,entity_type,n,pct
authorisation_list,Analytical parameter,1,0.01694915254237288
authorisation_list,CAS without structure,5,0.0847457627118644
authorisation_list,Molecule,45,0.7627118644067796
authorisation_list,Substance group,1,0.01694915254237288
authorisation_list,Unclassified,7,0.11864406779661017
authorisation_process,Analytical parameter,1,0.008264462809917356
authorisation_process,CAS without structure,10,0.08264462809917356
authorisation_process,Molecule,96,0.7933884297520661
authorisation_process,Substance group,4,0.03305785123966942
authorisation_process,Unclassified,10,0.08264462809917356
candidate_list,Analytical parameter,5,0.01937984496124031
candidate_list,CAS without structure,15,0.05813953488372093
candidate_list,Molecule,208,0.8062015503875969
candidate_list,Substance group,8,0.031007751937984496
candidate_list,Unclassified,22,0.08527131782945736
clh_process,Analytical parameter,56,0.06313416009019165
clh_process,CAS without structure,46,0.05186020293122886
clh_process,Mixture,4,0.004509582863585118
clh_process,Molecule,747,0.84216459977452085
clh_process,Regulatory entry,1,0.0011273957158962795
clh_process,Substance group,3,0.0033821871476888386
clh_process,Unclassified,30,0.033821871476888386
dossier_evaluation,Analytical parameter,359,0.0819634703196347
dossier_evaluation,CAS without structure,740,0.1689497716894977
dossier_evaluation,Mixture,30,0.00684931506849315
dossier_evaluation,Molecule,2748,0.6273972602739726
dossier_evaluation,Regulatory entry,1,2.2831050228310502e-4
dossier_evaluation,Substance group,1,2.2831050228310502e-4
dossier_evaluation,Unclassified,501,0.11438356164383562
ed_assessment,Analytical parameter,5,0.036231884057971016
ed_assessment,CAS without structure,9,0.06521739130434782
ed_assessment,Molecule,118,0.855072463768116
ed_assessment,Substance group,1,0.007246376811594203
ed_assessment,Unclassified,5,0.036231884057971016
eu_positive_list,Analytical parameter,138,0.06845238095238096
eu_positive_list,CAS without structure,309,0.15327380952380953
eu_positive_list,Mixture,7,0.003472222222222222
eu_positive_list,Molecule,1197,0.59375
eu_positive_list,Regulatory entry,1,4.96031746031746e-4
eu_positive_list,Substance group,7,0.003472222222222222
eu_positive_list,Unclassified,357,0.17708333333333334
harmonised_list,Analytical parameter,1001,0.21051524710830705
harmonised_list,CAS without structure,133,0.02797055730809674
harmonised_list,Molecule,3349,0.7043112513144059
harmonised_list,Substance group,2,4.206098843322818e-4
harmonised_list,Unclassified,270,0.056782334384858045
pbt_assessment,Analytical parameter,20,0.08064516129032258
pbt_assessment,CAS without structure,35,0.14112903225806453
pbt_assessment,Mixture,3,0.012096774193548387
pbt_assessment,Molecule,160,0.6451612903225806
pbt_assessment,Substance group,2,0.008064516129032258
pbt_assessment,Unclassified,28,0.11290322580645161
pesticides,Analytical parameter,3,0.002028397565922921
pesticides,CAS without structure,37,0.025016903313049357
pesticides,Molecule,1083,0.7322515212981744
pesticides,Substance group,5,0.0033806626098715348
pesticides,Unclassified,351,0.23732251521298176
pops_list,CAS without structure,1,0.030303030303030304
pops_list,Molecule,18,0.5454545454545454
pops_list,Substance group,9,0.2727272727272727
pops_list,Unclassified,5,0.15151515151515152
pops_process,Analytical parameter,1,0.08333333333333333
pops_process,Molecule,4,0.3333333333333333
pops_process,Substance group,2,0.16666666666666666
pops_process,Unclassified,5,0.4166666666666667
reach_registrations,Analytical parameter,1797,0.07135482846251588
reach_registrations,CAS without structure,2628,0.10435196950444726
reach_registrations,Mixture,136,0.0054002541296060995
reach_registrations,Molecule,15934,0.6327033036848793
reach_registrations,Regulatory entry,1,3.9707750952986025e-5
reach_registrations,Substance group,9,3.573697585768742e-4
reach_registrations,Unclassified,4679,0.1857925667090216
restriction_list,Analytical parameter,3,0.038461538461538464
restriction_list,CAS without structure,1,0.01282051282051282
restriction_list,Mixture,2,0.02564102564102564
restriction_list,Molecule,31,0.3974358974358974
restriction_list,Regulatory entry,12,0.15384615384615385
restriction_list,Substance group,15,0.19230769230769232
restriction_list,Unclassified,14,0.1794871794871795
restriction_process,Analytical parameter,7,0.13725490196078433
restriction_process,CAS without structure,1,0.0196078431372549
restriction_process,Mixture,1,0.0196078431372549
restriction_process,Molecule,15,0.29411764705882354
restriction_process,Substance group,8,0.1568627450980392
restriction_process,Unclassified,19,0.37254901960784315
sommatie_stoffen,Analytical parameter,5,0.0035971223021582736
sommatie_stoffen,CAS without structure,831,0.597841726618705
sommatie_stoffen,Mixture,499,0.35899280575539566
sommatie_stoffen,Molecule,54,0.03884892086330935
sommatie_stoffen,Unclassified,1,7.194244604316547e-4
substance_evaluation,Analytical parameter,29,0.06971153846153846
substance_evaluation,CAS without structure,34,0.08173076923076923
substance_evaluation,Mixture,3,0.007211538461538462
substance_evaluation,Molecule,322,0.7740384615384616
substance_evaluation,Unclassified,28,0.0673076923076923
svhc_identification,Analytical parameter,5,0.018315018315018316
svhc_identification,CAS without structure,19,0.0695970695970696
svhc_identification,Molecule,217,0.7948717948717948
svhc_identification,Substance group,9,0.03296703296703297
svhc_identification,Unclassified,23,0.08424908424908426
