substance_name,base_compound,base_resolvable,base_inchikey
Asbestos fibres,NA,FALSE,NA
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",NA,FALSE,NA
2-naphthylamine and its salts,2-naphthylamine,TRUE,JBIJLHTVPXGSAM-UHFFFAOYSA-N
Benzidine and its salts,Benzidine,TRUE,HFACYLZERDEVSX-UHFFFAOYSA-N
4-Aminobiphenyl xenylamine and its salts,4-Aminobiphenyl xenylamine,TRUE,NA
Mercury compounds,NA,FALSE,NA
Arsenic compounds,NA,FALSE,NA
Organostannic compounds,NA,FALSE,NA
Cadmium and its compounds,Cadmium,TRUE,BDOSMKKIYDKNTQ-UHFFFAOYSA-N
Nickel and its compounds,Nickel,TRUE,PXHVJJICTQNCMI-UHFFFAOYSA-N
Chromium VI compounds,NA,FALSE,NA
Polycyclic-aromatic hydrocarbons (PAH),NA,FALSE,NA
Polycyclic aromatic hydrocarbons (PAH),NA,FALSE,NA
Lead and its compounds,Lead,TRUE,WABPQHHGFIMREM-UHFFFAOYSA-N
Per- and polyfluoroalkyl substances (PFAS),NA,FALSE,NA
"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and its salts","4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol",TRUE,NA
Perfluoroheptanoic acid and its salts,Perfluoroheptanoic acid,TRUE,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N
Perfluorobutane sulfonic acid (PFBS) and its salts,Perfluorobutane sulfonic acid (PFBS),TRUE,NA
Perfluorohexane-1-sulphonic acid and its salts,Perfluorohexane-1-sulphonic acid,TRUE,QZHDEAJFRJCDMF-UHFFFAOYSA-N
"4,4'-oxydianiline and its salts","4,4'-oxydianiline",TRUE,HLBLWEWZXPIGSM-UHFFFAOYSA-N
Zirconia Aluminosilicate Refractory Ceramic Fibres,NA,FALSE,NA
Aluminosilicate Refractory Ceramic Fibres,NA,FALSE,NA
Hexabromocyclododecane (HBCDD),NA,FALSE,NA
"Perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS-related compounds",NA,FALSE,NA
Pentachlorophenol and its salts and esters,Pentachlorophenol,TRUE,IZUPBVBPLAPZRR-UHFFFAOYSA-N
Endosulfan and its isomers,Endosulfan,TRUE,RDYMFSUJUZBWLH-UHFFFAOYSA-N
Pentabromodiphenyl ether (group),NA,FALSE,NA
Heptabromodiphenyl ether (Group),NA,FALSE,NA
Hexabromodiphenyl ether (group),NA,FALSE,NA
Polychlorinated Biphenyls (PCB),NA,FALSE,NA
Polychlorinated dibenzo-p-dioxins and dibenzofurans (PCDD/PCDF),NA,FALSE,NA
cotton fibres,NA,FALSE,NA
aramid fibres,NA,FALSE,NA
glass fibres,NA,FALSE,NA
carbon fibres,NA,FALSE,NA
hemp fibres,NA,FALSE,NA
linen fibres,NA,FALSE,NA
Carbon fibres,NA,FALSE,NA
arsenic acid and its salts with the exception of those specified elsewhere in this Annex,arsenic acid,TRUE,DJHGAFSJWGLOIV-UHFFFAOYSA-N
"2-ethylhexanoic acid and its salts, with the exception of those specified elsewhere in this Annex",2-ethylhexanoic acid,TRUE,OBETXYAYXDNJHR-UHFFFAOYSA-N
Phenylmercury compounds,NA,FALSE,NA
"Orthoboric acid, sodium salt (group)",NA,FALSE,NA
organic nitrogen-phosphorous compound,NA,FALSE,NA
"3,5,5-trimethylhexanoic acid and its salts, with the exception of those specified elsewhere in this Annex","3,5,5-trimethylhexanoic acid",TRUE,OILUAKBAMVLXGF-UHFFFAOYSA-N
Tributyltin Compounds,NA,FALSE,NA
"Long-chain perfluorocarboxylic acids, their salts and related compounds",NA,FALSE,NA
perchloric acid and its salts,perchloric acid,TRUE,VLTRZXGMWDSKGL-UHFFFAOYSA-N
"Cetearyl alcohol and its esterification products with Fatty acids, C14-18 and C16-18-unsatd",Cetearyl alcohol,TRUE,UBHWBODXJBSFLH-UHFFFAOYSA-N
Substituted anthraquinone compound,NA,FALSE,NA
Vapour grown graphitic carbon fibre,NA,FALSE,NA
Non-graphitic carbon fibre,NA,FALSE,NA
Bisquaternary ammonium compound,NA,FALSE,NA
Bentonite/quaternary ammonium compounds,NA,FALSE,NA
"Filter cake of copper precipitation residue, lead dinitrate solution purification, lead and bismuth compounds",NA,FALSE,NA
Copper compound,NA,FALSE,NA
Alkyl mercury compounds,NA,FALSE,NA
Alkyloxyl and aryl mercury compounds,NA,FALSE,NA
Copper compounds,NA,FALSE,NA
Other inorganic mercury compounds,NA,FALSE,NA
Quaternary ammonium compounds,NA,FALSE,NA
