source,n_records,n_unique_inchikeys,linking_ratio
authorisation_list,59,45,0.7627118644067796
authorisation_process,121,95,0.7851239669421488
candidate_list,258,206,0.7984496124031008
clh_process,887,745,0.8399098083427283
dossier_evaluation,4380,2730,0.6232876712328768
ed_assessment,138,118,0.855072463768116
eu_positive_list,2016,1111,0.5510912698412699
harmonised_list,4755,3258,0.6851735015772871
pbt_assessment,248,160,0.6451612903225806
pesticides,1479,1062,0.718052738336714
pops_list,33,18,0.5454545454545454
pops_process,12,4,0.3333333333333333
reach_registrations,25184,15739,0.624960292249047
restriction_list,78,31,0.3974358974358974
restriction_process,51,15,0.29411764705882354
sommatie_stoffen,1390,51,0.03669064748201439
substance_evaluation,416,322,0.7740384615384616
svhc_identification,273,216,0.7912087912087912
