substance_name,best_match,score
Phenols,Phenols,1.0000000000000002
Borosilicate glass,Naphthalene sulfonates,0.9999999999999999
UC-705,Tannins,0.9999999999999997
diethylene glycol ester with stearic acid,Cresols,0.999999999999999
"alkyl(C8-C18)sulfonic acids, sodium salts",Xylenols,0.9999999999999989
polystyrene (with pentane as expansion agent),Polysaccharides,0.9999999999999988
Alkyl mercury compounds,Alkyl mercury compounds,0.9999999999996609
Other inorganic mercury compounds,Inorganic mercury compounds,0.9668960291582214
"alcohols, C9-C11-branched, ethoxylated propoxylated",Polyethylene glycols,0.9588721470816225
"Alkanes, C14-17, chloro",Terphenyls,0.9490326491793488
Arsenic compounds,Inorganic arsenic compounds,0.9466592562289614
zinc hydroxyphosphite,Xylenes,0.9376536795461597
"Alcohols, C10-12 (even numbered), ethoxylated (1-2.5 EO), sulfated, sodium salts",Xylenes,0.9376536795461597
Chromium VI compounds,Inorganic chromium (VI) compounds,0.9324580657297211
"polyvinyl alcohol, manufactured by saponification of polyvinyl acetate, with a degree of saponification ≥ 20 %",Polyterpenoids,0.9312399946530695
"(2R)-6-(4-chloropyridin-2-yl)-6,6-dimethoxy-2-methylhexanoic acid - N - cyclohexylcyclohexanamine (1:1.5)",Quinolines and derivatives,0.9295856819677071
Mercury compounds,Inorganic mercury compounds,0.9289707394376088
Polychlorinated Biphenyls (PCB),Polychlorinated biphenyls,0.9116612830318039
Reaction product of 3-Chloropropyltrimethoyxsilane and triethyl phosphite,Diaminotoluenes,0.9049868419214995
Nickel and its compounds,Inorganic nickel compounds,0.9039107838557807
