substance_name,best_match,score_1
Alkyl mercury compounds,Alkyl mercury compounds,0.9999999999999234
Tannins,Tannins,0.9999999999998461
Phenols,Phenols,0.99999999999976
Quaternary ammonium compounds,Quaternary ammonium salts,0.9928672348519126
Diaminotoluene,Diaminotoluenes,0.9881398974114605
Alkyldimethylbenzyl ammonium chloride,Alkyldimethylbenzylammonium chlorides,0.983334433122919
Inorganic ammonium salts,Inorganic sodium salts,0.981611227333312
naphthalene sulfonates,1-naphthalene sulfonates,0.9774881691451099
Other inorganic mercury compounds,Inorganic mercury compounds,0.9763872353797262
Diisocyanates,Isocyanates,0.9743366512669878
Cresol,Cresols,0.9734798841337113
Perfluoroheptanoic acid and its salts,Perfluorooctanoic acid and derivatives,0.9683740477573373
Trimethylsilyl alkynoate,Trimethylsilyl esters,0.9681531048256864
Alkyltrimethylbenzyl ammonium chloride,Alkyldimethylbenzylammonium chlorides,0.9678285922873888
"4-Amino-5-chloro-2,1,3-benzothiodiazole","2-amino-5-substituted-1,3,4-thiadiazoles",0.9661966076588743
Carbamic acid ester,Phenylcarbamic acid esters,0.9659951682208584
Anthraquinone acid dye,Anthraquinones,0.9658108724440868
Benzyl-C12-14-alkyldimethylammonium chlorides,Alkyldimethylbenzylammonium chlorides,0.9652443171889857
Acridinic bases,Acridines,0.9646955535205313
"1,5-diacetylperhydro-1,3,5-triazine-2,4-dione","4-methoxy-1,2,3-triazines",0.9632239498716257
