substance_name,best_match,score_1
polysaccharides,Polysaccharides,1
Alkyl mercury compounds,Alkyl mercury compounds,0.9999999999999994
naphthalene sulfonates,Naphthalene sulfonates,0.999999999999812
Tannins,Tannins,0.9999999999997516
xylenols,Xylenols,0.9999999999997227
Phenols,Phenols,0.9999999999997194
cresols,Cresols,0.9999999999996312
Other inorganic mercury compounds,Inorganic mercury compounds,0.9528580482061803
Arsenic compounds,Inorganic arsenic compounds,0.9375834270376033
polyterpenes,Polyterpenoids,0.9314184087372233
Mercury compounds,Inorganic mercury compounds,0.931232517415299
polyethylene glycol,Polyethylene glycols,0.9296300143523908
Chromium VI compounds,Inorganic chromium (VI) compounds,0.9227395674994009
Quaternary ammonium compounds,Quaternary ammonium salts,0.9134656455787297
lead alkyls,Alkyl lead compounds,0.912675473170424
Quinoline derivative,Quinolines and derivatives,0.9116667622493273
Alkyloxyl and aryl mercury compounds,Aryl mercury compounds,0.9080454976646749
xylene,Xylenes,0.9042848999065715
Xylene,Xylenes,0.9042848999065715
Fatty alcohols / Aliphatic alcohols,Fatty alcohols,0.8994201883840847
