substance_name,entity_type,matchable,is_group,equivalent_node,equivalent_level,relationship_type,confidence,emb_match,emb_score,emb_agrees
"Boric acid, lead salt",CAS without structure,TRUE,TRUE,Post-transition metal borates,subclass,subset,medium,NA,NA,FALSE
"Oligomerisation products of 3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate and butan-1-ol and pentan-1-ol and 2-ethylhexan-1-ol, allophanate type",Unclassified,TRUE,TRUE,Polycarbamates,class,subset,medium,NA,NA,FALSE
"4-{[4-(3-amino-4-sulfoanilino)-6-chloro-1,3,5-triazin-2-yl]amino}-6-[(5-carbamoyl-1-ethyl-2-hydroxy-4-methyl-6-oxo-1,6-dihydropyridin-3-yl)diazenyl]benzene-1,3-disulfonic acid",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1,1,1-Tris(omega-(2,2-dimethyl-3-lauroyloxy-propylidene-amin o)-poly(oxy(methyl-1,2-ethanediyl))methyl)propane",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
dimethylphenylthiuram,Unclassified,TRUE,TRUE,Thiuram monosulfides,direct_parent,subset,medium,NA,NA,FALSE
"Fumes, silica",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
PN-13,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
2-cyclohexylidene-2-(o-tolyl)acetonitrile,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Phosphorodithioic acid, mixed O,O-bis(2-ethylhexyl and iso-Pr) esters, zinc salts",CAS without structure,TRUE,TRUE,Organic dithiophosphoric acids and derivatives,class,subset,medium,NA,NA,FALSE
"Gasoil - unspecified|Hydrocarbons, C<sub>12-20</sub>, hydrotreated paraffinic, distn. lights|[A complex combination of hydrocarbons obtained as first runnings from the vacuum distillation of effluents from the treatment of heavy paraffins with hydrogen in",Mixture,TRUE,TRUE,Saturated hydrocarbons,class,subset,medium,NA,NA,FALSE
(S)-3-(benzyl(methyl)amino)-1-(3-methoxyphenyl)-2-methylpropan-1-one (R)-2-hydroxy-2-phenylacetate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
PRUSURF A,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"1,4-Benzenediamine, N,N-mixed Ph and tolyl derivs.",CAS without structure,TRUE,TRUE,P-phenylenediamines,subclass,subset,high,NA,NA,FALSE
"Zeolite, synthetic, crystalline, non fibrous, silica and titanium based",Unclassified,TRUE,TRUE,NA,NA,broader,high,NA,NA,FALSE
"tetrahydro-2-isobutyl-4-methylpyran-4-ol, mixed isomers (cis and trans)",Unclassified,TRUE,TRUE,Oxanes,class,subset,medium,NA,NA,FALSE
"C12-18-(even numbered, C18 unsaturated)-alkylamines acetates",Unclassified,TRUE,TRUE,Primary amines,direct_parent,subset,medium,NA,NA,FALSE
fibres of pure cellulose,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
