substance_name,substance_uri,predicate,equivalent_node,chemont_uri,relationship_type,equivalent_level,confidence,entity_type
"1,4-Benzenediamine, N,N-mixed Ph and tolyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f8989ebdcdb5f01eefcecf88acf5b43b,skos:broadMatch,P-phenylenediamines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004747,subset,subclass,high,CAS without structure
A mixture of isomers of branched tetracosane,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a8dfd0bc2eae49613acd5a64a887737a,skos:broadMatch,Branched alkanes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004620,subset,subclass,high,Mixture
"Nickel, [29H,31H-phthalocyaninato(2-)-[?]N29,[?]N30,[?]N31,[?]N32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs., sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/8d20dc656a5968e85c10244b0b18b53c,skos:broadMatch,Phthalocyanines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004188,subset,subclass,high,CAS without structure
"Fatty acids, C16-18, 2-hydroxyethyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/94958669026bf6008b1e33cd307b467f,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
Anthraquinone acid dye,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e18fc5fc91ff767f7f61df7c286c6038,skos:broadMatch,Anthraquinones,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000151,subset,subclass,high,Unclassified
"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a84d2a7d501937ac0a841196bb803ed5,skos:broadMatch,Benzenesulfonic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000032,subset,subclass,high,CAS without structure
sunflower oil fatty acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c5d4c71c9e6f536069b2c7f00c5a30bf,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
"Fatty acids, C16-18 (even numbered) saturated and C16-20 (even numbered) unsaturated, lithium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9542f8202b0baed0e4bd83a94614d3be,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,Unclassified
"Glycerides, C12-18 mono- and di-",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f825b100529f3240ff69473de0cad8f3,skos:broadMatch,Glycerolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000175,subset,class,high,CAS without structure
Perfluorohexane-1-sulphonic acid and its salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/eb70c74bf897a5c49d0bc599ed274681,skos:broadMatch,Perfluoroalkyl sulfonic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003961,subset,subclass,high,Substance group
"phenol, 2-dodecyl-, branched",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f0f29902a5d848a19237d6ccd0159827,skos:broadMatch,Phenols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000134,subset,class,high,Unclassified
"Hydrocarbons, C4, butane conc., n-butene-contg.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/27ebde397c7b3d1bad5a3d051e4e086c,skos:broadMatch,Hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002837,subset,superclass,high,CAS without structure
"Aromatic hydrocarbons, C6-10, C8-rich",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a0c8080bb284c9314febe04251edd2f0,skos:broadMatch,Aromatic hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004477,subset,class,high,CAS without structure
"Fatty acids, C16-18, isononyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/aafcdbcde44b36e3240da2c7f4020232,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"Oxirane, mono[(C8-10-alkyloxy)methyl] derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2cd0c15588640c09759c4c80db26108a,skos:broadMatch,Epoxides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000159,subset,class,high,CAS without structure
"Phosphorous acid, tri-C12-14-alkyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2d4e9451b142aae122816d5ab7a65f58,skos:broadMatch,Trialkylphosphites,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004484,subset,class,high,CAS without structure
"Alcohols, C18-22, distn. residues",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b4e704badf36eeef9ff3bb7410b144bd,skos:broadMatch,Fatty alcohols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001334,subset,subclass,high,CAS without structure
Triazine derivative,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/89bc58e04bd8be7bd67bd786ec2086c7,skos:broadMatch,Triazines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000098,subset,class,high,Unclassified
"Perfluorooctane sulfonic acid (PFOS), its salts and PFOS-related compoundsC8F17SO2X (X = OH, Metal salt (O-M+ ), halide, amide, and other related compounds including polymers)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a2ffb67966f52cd9d1e97eff2c43572e,skos:broadMatch,Perfluoroalkyl sulfonic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003961,subset,direct_parent,high,Unclassified
"Glycerides, C14-22 mono-",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/92895a3e5c3f640d29907ef1774f406b,skos:broadMatch,Monoacylglycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001133,subset,subclass,high,CAS without structure
"Fatty acids, C16-18 tridecyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f3d1cd5316b20b023e2a1d44e358d574,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,Unclassified
"Fatty acids, tall-oil, low-boiling",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/93bd880b9af3d76276d6e1715b259e0e,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
"Amides, C12-18(even numbered), N-[3-(dimethylamino)propyl]",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f63fef7d6316c12818697f3ac8708093,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,Unclassified
"Hydrocarbons, C5, n-alkanes, isoalkanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3c7733730b54b00693ee63a9b428e5bb,skos:broadMatch,Saturated hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004474,subset,class,high,Unclassified
"Phosphoric Acid, C8-12(even-numbered) linear Alkyl Esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4872a9240d6efb7380b78a4974cdefa9,skos:broadMatch,Alkyl phosphates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003457,subset,direct_parent,high,Unclassified
"Alcohols, C11-15-secondary",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/953ad75925816bca6dd1b10c1c795b1f,skos:broadMatch,Secondary alcohols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001661,subset,direct_parent,high,CAS without structure
"Hydrocarbons, C≥5, C5-6-rich",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bf4c95f7bb5cdee344a86e80e3660263,skos:broadMatch,Hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002837,subset,superclass,high,CAS without structure
"1,4-bis[(4-C12 (branched and linear) alkylphenyl)amino]anthraquinone",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b5b174dab7bc7d89ad62517e8879188c,skos:broadMatch,Anthraquinones,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000151,subset,subclass,high,Unclassified
"Alkenes, C9-11, C10-rich",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d4c13ebd7017acef42c2f123ef18c392,skos:broadMatch,Alkenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002501,subset,subclass,high,CAS without structure
undecafluorohexanoic acid and its ammonium salt,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9750acb219e59e9104e6b6a9d7ae0050,skos:broadMatch,Perfluoroalkyl carboxylic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003962,subset,direct_parent,high,Unclassified
"Fatty acids, C18-36, esters with ethylene glycol",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/52aea2d098b5ea66a74a5534deb64a1e,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"1,2-benzenedicarboxylic acid, di-C10-12-branched alkyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/027e7ba3838ada1fa8b1b0ea1c093215,skos:broadMatch,Phthalic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001105,subset,level 5,high,Unclassified
