"substance_name","best_match","score","confidence"
"Phenols","Phenols",1,0.67020747456767
"naphthalene sulfonates","Naphthalene sulfonates",1,0.616833425223678
"Tannins","Tannins",1,0.657581295619945
"cresols","Cresols",0.999999999999999,0.662437447308829
"xylenols","Xylenols",0.999999999999999,0.634242631025211
"polysaccharides","Polysaccharides",0.999999999999999,0.647531516692806
"Alkyl mercury compounds","Alkyl mercury compounds",0.999999999999661,0.667644740189452
"Other inorganic mercury compounds","Inorganic mercury compounds",0.966896029158221,0.641769532250672
"polyethylene glycol","Polyethylene glycols",0.958872147081622,0.698405566118553
"Terphenyl","Terphenyls",0.949032649179349,0.611273016027637
"Arsenic compounds","Inorganic arsenic compounds",0.946659256228961,0.586719938924126
"xylene","Xylenes",0.93765367954616,0.590964899467217
"Xylene","Xylenes",0.93765367954616,0.590964899467217
"Chromium VI compounds","Inorganic chromium (VI) compounds",0.932458065729721,0.63460699795472
"polyterpenes","Polyterpenoids",0.93123999465307,0.607317105839002
"Quinoline derivative","Quinolines and derivatives",0.929585681967707,0.634703440200467
"Polychlorinated Biphenyls (PCB)","Polychlorinated biphenyls",0.911661283031804,0.590238218361519
"Diaminotoluene","Diaminotoluenes",0.904986841921499,0.641375823404561
"Nickel and its compounds","Inorganic nickel compounds",0.903910783855781,0.634447456561032
"Quaternary ammonium compounds","Quaternary ammonium salts",0.901237618375088,0.619117783242302
"Alkyldimethylbenzyl ammonium chloride","Alkyldimethylbenzylammonium chlorides",0.900671990691517,0.583617722783093
"Carbamic acid ester","Carbamate esters",0.892384487851599,0.558699436466256
"trialkylboranes, solid","Trialkylboranes",0.884875695541225,0.574997500048355
"Fatty alcohols / Aliphatic alcohols","Fatty alcohols",0.884212923666636,0.555949317907291
"esters of fatty acids with polyglycerol","Fatty acid esters",0.881553419962521,0.562716071332542
"TRIAZINE B","Triazines",0.874900365886888,0.553892916921942
"Sulfonic acids, petroleum","Organic sulfonic acids",0.871865469540112,0.541401833247089
"lead alkyls","Alkyl lead compounds",0.868020814630938,0.559556394910693
"chloroanilines (with exception of those specified elsewhere in this Annex)","Chloroanilines",0.86669058922852,0.606975013743029
"polyacrylic acid","Acrylic acids",0.864802271141034,0.554430084904203
"Hydrocarbons, C9, aromatics","Aromatic hydrocarbons",0.86105322680568,0.567452301194819
"m-tolylidene diisocyanate; toluene-diisocyanate","Toluene diisocyanates",0.859954208906771,0.595123470030166
"aluminium alkyls","Metal alkyls",0.856724934174566,0.54959801192781
"polyhalogenated dibenzo-p-dioxins and dibenzofurans","Dibenzo-p-dioxins",0.850431445875604,0.539607496213683
"trialkylboranes, liquid","Trialkylboranes",0.849476848690524,0.543990708343862
"Alkyltrimethylbenzyl ammonium chloride","Alkyldimethylbenzylammonium chlorides",0.849313466595652,0.543256593110882
"Alkanes, C16-47, branched and linear","Branched alkanes",0.848046726957744,0.555882646806779
"Benzyl-C12-14-alkyldimethylammonium chlorides","Alkyldimethylbenzylammonium chlorides",0.845030305450502,0.556715539085263
"Fatty acids, castor-oil, Me esters","Fatty acid esters",0.844312815016892,0.538387695412875
"1,3,5-Triazine-2,4,6-triamine, deammoniated","1,3,5-triazine-2,4-diamines",0.842938808031906,0.535336710386777
"thioxylenols","Thioperoxols",0.839575965790635,0.538401530224429
"Cadmium and its compounds","Inorganic cadmium salts",0.838564122861724,0.539829364043342
"S CARBOXYLIC ACID","Carboxylic acids",0.838505042981006,0.525531271042056
"C16-(branched), C20-(branched) and C24-(branched)-alkanes","Branched alkanes",0.836091211260563,0.556832799716392
"Enzymatically produced steviol glycosides","Steviol glycosides",0.836069937605325,0.5452940947959
"perchloric acid, salts (perchlorate)","Organic perchlorate salts",0.834597730359809,0.532164584036565
"Carboxylic acids, C5-9","Carboxylic acids",0.833806418477079,0.524886038778491
"poly(ethylenepropylene)glycol","Polyethylene glycols",0.831285618264436,0.589652580478287
"Alkanes, C12-26-branched and linear","Branched alkanes",0.831167129096911,0.546318553102091
"Fatty acids, C16-18, iso-Bu esters","Fatty acid esters",0.830087526726158,0.523449449680845
"Alkyltrimethyl ammonium chloride","Alkyldimethylbenzylammonium chlorides",0.828854698738779,0.524872428621908
"Naphthenic acids","Naphthalenecarboxylic acids",0.828287342988596,0.51981609823689
"Amino acids: mix","Amino acids",0.828104411959053,0.530231642627529
"Fatty acids, C16-18, stearyl esters","Fatty acid esters",0.826711760365315,0.523138635298112
"fatty acid polyglycol esters","Fatty acid esters",0.826561631020687,0.523580390974355
"Fatty acids, C16-18, iso-Pr esters","Fatty acid esters",0.826147883153693,0.518983919796492
"Amides, tall-oil fatty, N-(hydroxyethyl)","Fatty amides",0.825622955353529,0.541761930483255
"Fatty acids, C8-10, octyl esters","Fatty acid esters",0.825622269074423,0.518346339746603
"Fatty acids, C8-10, Me esters","Fatty acid esters",0.825168287705294,0.518689696523839
"Fatty acids, soybean oil, conjugated","Fatty acids and conjugates",0.823284305708266,0.544629213215941
"Benzoic acid, C12-15-alkyl esters","Benzoic acid esters",0.822894701373545,0.519953766863466
"phthalic acid, esters with triethyleneglycol","Phthalate esters",0.822222352588648,0.51303652144112
"Fatty acids, C16-18, isononyl esters","Fatty acid esters",0.821394905495212,0.515795534474221
"Fatty acids, soya, 2-ethylhexyl esters","Fatty acid esters",0.821314479340923,0.513558355056669
"Fatty acids, C16-18, Bu esters","Fatty acid esters",0.820092948800536,0.521828365311789
"D-Glucopyranose, oligomeric, C10-16(even numbered) alkyl glycosides","Alkyl glycosides",0.819223426590769,0.523720004610927
"fatty acids, C8-C18 and C18-unsaturated","Unsaturated fatty acids",0.818872524674131,0.537444573173332
"Fatty alcohols, manuf. of, by-products from","Fatty alcohols",0.818515061909389,0.516875109184597
"Fatty acids, C16-18, 2-hydroxyethyl esters","Fatty acid esters",0.818329781498126,0.510933713004339
"Fatty acids, sunflower-oil, conjugated","Fatty acids and conjugates",0.817504324016237,0.53232104569196
"Methyl ester of fatty acids, Cx-Cy, Hydroxymethylated","Fatty acid methyl esters",0.817206665390668,0.515910656930245
"alkyl(C8-C18)dimethylbenzylammonium chloride","Alkyldimethylbenzylammonium chlorides",0.816356111848312,0.524222312213811
"BIS-PIPERAZINE","Piperazines",0.816290151018309,0.512996236792879
"Cresol","Cresols",0.81475127022834,0.528220657966634
"PHTHALOCYANINE PIGMENT","Phthalocyanines",0.81413008859961,0.54366585707059
"IMINOFLUMIZOLINE","Imidazolines",0.813703207874035,0.524275278021251
"Polycyclic aromatic hydrocarbons (PAH)","Aromatic hydrocarbons",0.813665483315112,0.521458603641805
"Fatty acids, coco, 2-ethylhexyl esters","Fatty acid esters",0.81357753051577,0.509855081476362
"Polysulfides, di-tert-dodecyl","Organic disulfides",0.812802636120001,0.515654246494588
"Fatty acids, vegetable-oil, Me esters","Fatty acid esters",0.812204274569742,0.522774107976066
"acrylic acid, esters with alcohols, monohydric, aliphatic, saturated, C1-C18","Acrylic acid esters",0.811847063568847,0.519065530208271
"Fatty acids, C16-18, 2-butyloctyl esters","Fatty acid esters",0.811700532408171,0.513449257549181
"Polycyclic aromatic hydrocarbons (PAHs)","Aromatic hydrocarbons",0.811056878887194,0.518755706838758
"saturated, unsaturated and hydroxylated fatty acids (C8-C24)","Unsaturated fatty acids",0.810729056394835,0.522821349719511
"acrylic acid, acrylic acid, 2-ethylhexyl ester, copolymer","Acrylic acid esters",0.810404859060468,0.511019269495732
"Benzidine and its salts","Benzidines",0.809924552805131,0.505947498028804
"Alkanes, C4-5","Alkanes",0.809704768418387,0.525814603233903
"Alkylated Naphthalene","Naphthalenes",0.808330805235478,0.506210223911194
"perchloric acid and its salts","Organic perchlorate salts",0.80821940845059,0.514864929225504
"Fatty acids, C16-18, Me esters","Fatty acid esters",0.806708395395919,0.507650119672409
"Fatty acids, C8-10, C8-10 alkyl esters","Fatty acid esters",0.806680881066473,0.504837713566501
"Fatty acids, tall-oil, Bu esters","Fatty acid esters",0.806540901845978,0.513465572516735
"2-[2-(Methoxycarbonyl-phenyl-amino)-phenyl]-acetic acid","2(hydroxyphenyl)acetic acids",0.806042537637377,0.527712680245499
"Fatty acids, C8-12, isopentyl esters","Fatty acid esters",0.805923563971553,0.506164969480336
"Fatty acids, C16-18 tridecyl esters","Fatty acid esters",0.805818520545848,0.507209238311494
"Fatty acids, coco, iso-Bu esters","Fatty acid esters",0.804975099023998,0.508981264238085
"Chromium (VI) compounds, with the exception of barium chromate and of compounds specified elsewhere in this Annex","Inorganic chromium (VI) compounds",0.804444789026058,0.545909467872261
"Hydrocarbons, C13-C14, n-alkanes, <2% aromatics","Aromatic hydrocarbons",0.804341052789576,0.522436732304575
"Fatty acids, C14-18, C14-18-alkyl esters","Fatty acid esters",0.804315838871724,0.506002522616904
"Fatty acids, C16-18, isotridecyl esters","Fatty acid esters",0.803749701344216,0.504822040717378
"Hydrocarbons, C10-C14, n-alkanes, <2% aromatics","Aromatic hydrocarbons",0.803100960484065,0.519954610949969
"Hydrocarbons, C14-C16, n-alkanes, <2% aromatics","Aromatic hydrocarbons",0.802124174414441,0.520465808403324
"Hydrocarbons, C11-C14, n-alkanes, <2% aromatics","Aromatic hydrocarbons",0.80199806883013,0.517060443710452
"acrylic, fumaric, maleic and methacrylic esters","Acrylic acid esters",0.801617478599147,0.532143379374838
"polyethyleneglycol","Polyethylene glycols",0.801478442431069,0.566527864062397
"Fatty acids, C16-18 and C18-unsatd., iso-Bu esters","Fatty acid esters",0.801384240146812,0.505780415323118
"Naphthenic acids, lithium salts","Organic lithium salts",0.800576032069465,0.516943060883047
